序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额,更新时间
26,08187,积木集团,0.89,0.08,9.88,0.85,0.89,0.85,0.81,95000.0,83150.0,2025-06-20 13:55:35
27,01746,万顺集团控股,0.335,0.03,9.84,0.305,0.34,0.27,0.305,3760000.0,1116380.0,2025-06-20 13:55:35
28,01520,天机控股,0.71,0.06,9.23,0.66,0.71,0.66,0.65,7110000.0,4913820.0,2025-06-20 13:55:35
29,01920,中国网成,0.415,0.035,9.21,0.385,0.44,0.385,0.38,5416000.0,2205540.0,2025-06-20 13:55:35
30,01302,先健科技,2.02,0.17,9.19,1.85,2.13,1.85,1.85,173444000.0,352896816.0,2025-06-20 13:55:35
31,00272,瑞安房地产,0.72,0.06,9.09,0.67,0.82,0.66,0.66,69373440.0,51856994.0,2025-06-20 13:55:35
32,08420,NEXION TECH,0.024,0.002,9.09,0.022,0.024,0.022,0.022,55000.0,1320.0,2025-06-20 13:55:35
33,00535,金地商置,0.3,0.025,9.09,0.275,0.33,0.27,0.275,379472000.0,116565250.0,2025-06-20 13:55:35
34,09663,国鸿氢能,9.19,0.76,9.02,8.27,9.2,8.0,8.43,201000.0,1785505.0,2025-06-20 13:55:35
35,01715,火山邑动国际控股,0.31,0.025,8.77,0.285,0.325,0.285,0.285,1180000.0,362650.0,2025-06-20 13:55:35
36,02126,药明巨诺-B,2.53,0.2,8.58,2.37,2.56,2.37,2.33,4071400.0,10112001.0,2025-06-20 13:55:35
37,00913,港湾数字,0.38,0.03,8.57,0.395,0.4,0.37,0.35,210000.0,83100.0,2025-06-20 13:55:35
38,00721,中国金融国际,0.064,0.005,8.47,0.058,0.065,0.058,0.059,53440000.0,3285020.0,2025-06-20 13:55:35
39,00082,疯狂体育,0.092,0.007,8.24,0.085,0.095,0.085,0.085,7592000.0,673428.0,2025-06-20 13:55:35
40,00464,中国智能科技,0.47,0.035,8.05,0.445,0.55,0.435,0.435,19792000.0,9734520.0,2025-06-20 13:55:35
41,06939,美佳音控股,0.485,0.035,7.78,0.47,0.49,0.44,0.45,164000.0,77090.0,2025-06-20 13:55:35
42,08076,新利软件,0.028,0.002,7.69,0.028,0.029,0.025,0.026,255000.0,7135.0,2025-06-20 13:55:35
43,00136,中国儒意,2.41,0.17,7.59,2.24,2.42,2.22,2.24,109395800.0,255964728.0,2025-06-20 13:55:35
44,08286,长城微光,0.086,0.006,7.5,0.079,0.088,0.079,0.08,145000.0,12270.0,2025-06-20 13:55:35
45,08239,首都金融控股,0.87,0.06,7.41,0.88,0.88,0.85,0.81,2050518.0,1792509.0,2025-06-20 13:55:35
46,01126,德林国际,10.64,0.73,7.37,9.9,10.66,9.7,9.91,8701154.0,88573421.0,2025-06-20 13:55:35
47,01945,清科创业,1.33,0.09,7.26,1.3,1.38,1.23,1.24,103200.0,133092.0,2025-06-20 13:55:35
48,00070,金粤控股,0.045,0.003,7.14,0.043,0.045,0.043,0.042,50000.0,2230.0,2025-06-20 13:55:35
49,08300,今米房集团,0.06,0.004,7.14,0.06,0.06,0.06,0.056,320000.0,19200.0,2025-06-20 13:55:35
50,06117,日照港裕廊,0.9,0.06,7.14,0.9,0.9,0.9,0.84,4000.0,3600.0,2025-06-20 13:55:35
51,08146,怡园酒业,0.121,0.008,7.08,0.113,0.121,0.113,0.113,0.0,,2025-06-20 13:55:35
52,08406,中国口腔产业,0.106,0.007,7.07,0.106,0.106,0.106,0.099,10000.0,1060.0,2025-06-20 13:55:35
53,01606,国银金租,1.53,0.1,6.99,1.41,1.55,1.41,1.43,23675950.0,35265429.0,2025-06-20 13:55:35
54,08411,K W NELSON GP,0.062,0.004,6.9,0.058,0.07,0.057,0.058,250000.0,14510.0,2025-06-20 13:55:35
55,01950,帝王实业控股,0.31,0.02,6.9,0.29,0.31,0.29,0.29,848800.0,256392.0,2025-06-20 13:55:35
56,01116,MAYER HOLDINGS,0.32,0.02,6.67,0.3,0.32,0.3,0.3,50000.0,15350.0,2025-06-20 13:55:35
57,09676,十月稻田,7.22,0.45,6.65,6.9,7.47,6.72,6.77,51979300.0,374877920.0,2025-06-20 13:55:35
58,00865,建德国际控股,0.049,0.003,6.52,0.046,0.051,0.046,0.046,760000.0,36792.0,2025-06-20 13:55:35
59,00117,天利控股集团,0.415,0.025,6.41,0.42,0.42,0.415,0.39,110000.0,46200.0,2025-06-20 13:55:35
60,02152,苏新服务,5.06,0.3,6.3,5.06,5.06,5.06,4.76,500.0,2530.0,2025-06-20 13:55:35
61,00433,北方矿业,0.035,0.002,6.06,0.035,0.035,0.034,0.033,550000.0,18820.0,2025-06-20 13:55:35
62,01146,汇成国际控股,0.07,0.004,6.06,0.069,0.07,0.069,0.066,38000.0,2656.0,2025-06-20 13:55:35
63,00697,首程控股,1.58,0.09,6.04,1.52,1.61,1.52,1.49,39655200.0,62521328.0,2025-06-20 13:55:35
64,08511,民富国际,1.06,0.06,6.0,1.06,1.06,1.06,1.0,4000.0,4260.0,2025-06-20 13:55:35
65,02197,三叶草生物-B,0.265,0.015,6.0,0.25,0.265,0.25,0.25,659500.0,172930.0,2025-06-20 13:55:35
66,06933,新娱科控股,0.16,0.009,5.96,0.151,0.16,0.151,0.151,0.0,,2025-06-20 13:55:35
67,01030,新城发展,2.34,0.13,5.88,2.21,2.36,2.21,2.21,20266000.0,46605040.0,2025-06-20 13:55:35
68,08370,智升集团控股,6.15,0.34,5.85,5.98,6.15,5.98,5.81,80800.0,484912.0,2025-06-20 13:55:35
69,00571,丰德丽控股,0.055,0.003,5.77,0.055,0.055,0.055,0.052,40000.0,2200.0,2025-06-20 13:55:35
70,01376,RAFFLESINTERIOR,0.093,0.005,5.68,0.088,0.103,0.088,0.088,248000.0,22936.0,2025-06-20 13:55:35
71,02440,迷策略,2.79,0.15,5.68,2.64,2.9,2.62,2.64,1798010.0,4978187.0,2025-06-20 13:55:35
72,08137,洪桥集团,0.56,0.03,5.66,0.55,0.58,0.54,0.53,1000000.0,554700.0,2025-06-20 13:55:35
73,01202,四威科技,0.75,0.04,5.63,0.74,0.75,0.74,0.71,12000.0,8960.0,2025-06-20 13:55:35
74,00396,兴利(香港)控股,0.094,0.005,5.62,0.094,0.094,0.094,0.089,10000.0,940.0,2025-06-20 13:55:35
75,01741,成志控股,0.132,0.007,5.6,0.121,0.135,0.121,0.125,568000.0,75396.0,2025-06-20 13:55:35
76,02177,优趣汇控股,3.65,0.19,5.49,3.5,3.67,3.5,3.46,119600.0,427686.0,2025-06-20 13:55:35
77,01938,珠江钢管,0.232,0.012,5.45,0.227,0.248,0.221,0.22,1954000.0,471015.0,2025-06-20 13:55:35
78,00673,中国卫生集团,0.29,0.015,5.45,0.29,0.29,0.29,0.275,108000.0,31320.0,2025-06-20 13:55:35
79,08268,智城发展控股,0.78,0.04,5.41,0.8,0.8,0.74,0.74,184200.0,144782.0,2025-06-20 13:55:35
80,06138,哈尔滨银行,0.39,0.02,5.41,0.375,0.39,0.375,0.37,1156000.0,442310.0,2025-06-20 13:55:35
81,03366,华侨城(亚洲),0.196,0.01,5.38,0.189,0.196,0.189,0.186,80000.0,15448.0,2025-06-20 13:55:35
82,02138,医思健康,0.59,0.03,5.36,0.56,0.59,0.56,0.56,5000.0,2920.0,2025-06-20 13:55:35
83,02331,李宁,15.8,0.8,5.33,15.04,16.12,15.04,15.0,32942810.0,516260064.0,2025-06-20 13:55:35
84,00255,龙记集团,1.39,0.07,5.3,1.35,1.4,1.35,1.32,40000.0,55280.0,2025-06-20 13:55:35
85,01830,完美医疗,1.79,0.09,5.29,1.7,1.8,1.7,1.7,1837046.0,3255184.0,2025-06-20 13:55:35
86,00193,冠中地产,0.26,0.013,5.26,0.25,0.26,0.247,0.247,258750.0,66075.0,2025-06-20 13:55:35
87,01340,惠生国际,0.04,0.002,5.26,0.038,0.041,0.037,0.038,664000.0,25100.0,2025-06-20 13:55:35
88,03650,KEEP,5.09,0.25,5.17,4.98,5.13,4.86,4.84,997200.0,5018317.0,2025-06-20 13:55:35
89,01108,凯盛新能,4.94,0.24,5.11,4.95,5.65,4.91,4.7,63084000.0,332104656.0,2025-06-20 13:55:35
90,00090,普星能量,0.62,0.03,5.08,0.57,0.62,0.57,0.59,120000.0,73900.0,2025-06-20 13:55:35
91,08329,海王英特龙,0.187,0.009,5.06,0.18,0.19,0.18,0.178,380000.0,70330.0,2025-06-20 13:55:35
92,02422,润歌互动,0.415,0.02,5.06,0.415,0.415,0.415,0.395,4000.0,1660.0,2025-06-20 13:55:35
93,01905,海通恒信,0.83,0.04,5.06,0.8,0.83,0.8,0.79,2444000.0,1993080.0,2025-06-20 13:55:35
94,00915,道和环球,0.104,0.005,5.05,0.099,0.104,0.099,0.099,243000.0,24407.0,2025-06-20 13:55:35
95,01150,米兰站,0.126,0.006,5.0,0.126,0.126,0.126,0.12,80000.0,10080.0,2025-06-20 13:55:35
96,00428,中国天弓控股,0.21,0.01,5.0,0.207,0.21,0.207,0.2,12000.0,2508.0,2025-06-20 13:55:35
97,01831,十方控股,0.126,0.006,5.0,0.12,0.13,0.12,0.12,30000.0,3700.0,2025-06-20 13:55:35
98,01063,新确科技,0.126,0.006,5.0,0.127,0.128,0.12,0.12,6710000.0,851620.0,2025-06-20 13:55:35
99,02122,凯知乐国际,0.063,0.003,5.0,0.064,0.064,0.063,0.06,2000.0,128.0,2025-06-20 13:55:35
100,08042,高奥士国际,0.042,0.002,5.0,0.04,0.043,0.04,0.04,90000.0,3730.0,2025-06-20 13:55:35
101,02531,广联科技控股,15.6,0.74,4.98,15.2,16.2,15.1,14.86,180000.0,2798790.0,2025-06-20 13:55:35
102,09993,金辉控股,3.18,0.15,4.95,3.05,3.57,3.0,3.03,72200000.0,236648939.0,2025-06-20 13:55:35
103,82331,李宁-R,14.44,0.68,4.94,14.0,14.44,14.0,13.76,23000.0,325920.0,2025-06-20 13:55:35
104,08095,北大青鸟环宇,0.64,0.03,4.92,0.62,0.65,0.62,0.61,1067000.0,686220.0,2025-06-20 13:55:35
105,06828,北京燃气蓝天,0.043,0.002,4.88,0.041,0.044,0.041,0.041,19712000.0,844312.0,2025-06-20 13:55:35
106,01205,中信资源,0.43,0.02,4.88,0.41,0.43,0.405,0.41,15709850.0,6561945.0,2025-06-20 13:55:35
107,00717,英皇资本,0.088,0.004,4.76,0.084,0.089,0.083,0.084,14738000.0,1278906.0,2025-06-20 13:55:35
108,00978,招商局置地,0.22,0.01,4.76,0.215,0.226,0.215,0.21,86000.0,19112.0,2025-06-20 13:55:35
109,00017,新世界发展,5.07,0.23,4.75,4.94,5.15,4.87,4.84,13202505.0,65815395.0,2025-06-20 13:55:35
110,00438,彩虹新能源,2.25,0.1,4.65,2.25,2.25,2.25,2.15,14400.0,32400.0,2025-06-20 13:55:35
